,filename,frames,face_no,num_faces,top,right,bottom,left
0,9a22372d22a52397.mp4,0,0,1,66,273,129,211
1,9a22372d22a52397.mp4,20,0,1,59,280,122,218
2,9a22372d22a52397.mp4,40,0,2,59,280,122,218
3,9a22372d22a52397.mp4,40,1,2,135,287,198,225
4,9a22372d22a52397.mp4,60,0,1,66,280,129,218
5,9a22372d22a52397.mp4,80,0,1,59,287,122,225
6,9a22372d22a52397.mp4,100,0,1,66,287,129,225
7,9a22372d22a52397.mp4,120,0,1,66,280,129,218
8,9a22372d22a52397.mp4,140,0,1,66,266,129,204
9,9a22372d22a52397.mp4,160,0,1,63,270,138,196
10,9a22372d22a52397.mp4,180,0,1,55,287,130,212
11,9a22372d22a52397.mp4,200,0,1,59,273,122,211
12,9a22372d22a52397.mp4,220,0,1,55,270,130,196
13,9a22372d22a52397.mp4,240,0,1,55,262,130,187
14,9a22372d22a52397.mp4,260,0,1,66,259,129,197
15,9a22372d22a52397.mp4,280,0,1,55,287,130,212
16,9a22372d22a52397.mp4,300,0,1,63,278,138,204
17,9a22372d22a52397.mp4,320,0,1,55,287,130,212
18,9bc4f1306bb8e2cd.mp4,0,0,1,66,273,129,211
19,9bc4f1306bb8e2cd.mp4,20,0,1,59,280,122,218
20,9bc4f1306bb8e2cd.mp4,40,0,1,59,280,122,218
21,9bc4f1306bb8e2cd.mp4,60,0,1,66,280,129,218
22,9bc4f1306bb8e2cd.mp4,80,0,1,59,287,122,225
23,9bc4f1306bb8e2cd.mp4,100,0,1,66,287,129,225
24,9bc4f1306bb8e2cd.mp4,120,0,1,66,280,129,218
25,9bc4f1306bb8e2cd.mp4,140,0,1,66,266,129,204
26,9bc4f1306bb8e2cd.mp4,160,0,1,63,270,138,196
27,9bc4f1306bb8e2cd.mp4,180,0,1,59,280,122,218
28,9bc4f1306bb8e2cd.mp4,200,0,1,59,273,122,211
29,9bc4f1306bb8e2cd.mp4,220,0,1,55,270,130,196
30,9bc4f1306bb8e2cd.mp4,240,0,1,59,259,122,197
31,9bc4f1306bb8e2cd.mp4,260,0,1,55,262,130,187
32,9bc4f1306bb8e2cd.mp4,280,0,1,55,287,130,212
33,9bc4f1306bb8e2cd.mp4,300,0,1,63,278,138,204
34,9bc4f1306bb8e2cd.mp4,320,0,1,55,287,130,212
35,88fe2a902a9d8cc7.mp4,0,0,1,66,273,129,211
